Fetched: 	Url
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=2ee703036a439c4f1ef880900ae09980
Fetched URL:	http://www.ics.uci.edu/~feldman/LEC17.htm
Fetched URL:	http://sli.ics.uci.edu/Classes-CS178-Notes/PCA?action=login
Fetched URL:	http://duttgroup.ics.uci.edu/doku.php/drg101?do=media&ns=
Fetched URL:	http://mondego.ics.uci.edu/icsergen
Fetched URL:	https://sli.ics.uci.edu/Classes/2012S-274b-ProjectIdeas
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=3a58352f9f5c3ac448969da57a071de8
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=1969e614de3a61aa2d24fde6f78a8a32
Fetched URL:	http://www.ics.uci.edu/~mlearn/datasets/Amazon+book+reviews
Fetched URL:	http://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=312a096bf4c56768e17a8e85a3b0baeb
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/start?do=edit&rev=1485304990
Fetched URL:	https://duttgroup.ics.uci.edu/doku.php/group?do=index
